N,P,K,temperature,humidity,ph,rainfall,label
85,38,41,21.58711777,82.7883708,6.249050656,276.6552459,rice
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice
77,38,36,21.8652524,80.1923008,5.953933276,224.5550169,rice
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618,rice
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice
97,59,43,26.35927159,84.04403589,6.286500176,271.3586137,rice
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,maize
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,maize
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,maize
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,maize
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,banana
105,93,46,25.01018457,78.76260938,5.760457558,108.3690513,banana
85,89,51,29.21144871,84.70189923,6.158164422,108.5501443,banana
108,94,47,27.35911627,84.54625006,6.387431383,90.81250457,banana
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
110,71,54,28.67208915,82.20793613,5.725418961,94.37987496,banana
82,75,55,27.34585147,78.4873835,6.281069505,92.15524332,banana
117,81,53,29.50704598,78.20585613,5.507641778,98.12565829,banana
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,mango
39,24,31,33.55695561,53.72979826,4.757114897,98.67527561,mango
21,26,27,27.00315545,47.67525434,5.699586972,95.85118326,mango
25,22,25,33.56150184,45.53556603,5.977413803,95.70525913,mango
0,21,32,35.89855625,54.25964196,6.430139436,92.19721736,mango
20,19,35,34.17719782,50.62161586,6.113935087,98.00687989,mango
19,21,34,30.01592643,53.19212381,5.074272692,97.72843182,mango
18,17,31,31.74592134,45.16127859,5.667507706,93.75441586,mango
11,36,33,35.99009679,52.22780489,5.978634285,95.3713484,mango
30,28,30,31.86641378,52.19331595,5.064613314,98.46768642,mango
18,19,27,27.75518664,52.34605806,4.772385986,94.11213345,mango
23,23,27,34.72413192,51.4271781,5.161148592,97.31258083,mango
37,30,34,27.53907547,53.63549533,6.797779227,99.35408185,mango
11,27,30,27.69637763,48.5622488,6.39474303,89.85646496,mango
12,19,31,27.25373364,52.66319725,5.566704378,91.87312479,mango
3,28,33,30.33723921,48.88704844,5.755049971,94.42850522,mango
37,38,32,31.85744939,45.53106268,5.417340525,91.55845821,mango
26,37,30,35.39986338,49.45962621,6.166173834,97.41054011,mango
14,18,30,29.80747243,52.13797867,5.191265116,95.74606104,mango
40,16,35,34.16438906,54.16482251,4.954739564,98.33351125,mango
4,20,25,28.93270187,47.94053996,5.664587011,99.9834242,mango
36,25,33,27.98392787,53.33018851,5.548584852,99.61465679,mango
30,17,31,31.20478173,54.49960506,6.804437106,94.62954663,mango
28,37,28,32.13409675,50.52559148,6.097869767,98.63333684,mango
38,15,30,28.91862016,48.13974548,5.075504537,97.01331604,mango
12,37,30,31.09779147,47.41196659,4.546466109,90.28624348,mango
38,19,31,34.73823882,49.08864345,5.855119268,90.65022183,mango
8,33,29,29.98080499,49.48613279,6.442393461,91.82271568,mango
15,27,28,33.80398664,46.12866113,4.507523551,90.82549241,mango
34,16,25,30.07202564,50.96040505,6.10729559,92.09609766,mango
11,36,31,27.92063282,51.77965917,6.47544932,100.2585673,mango
33,29,34,31.40948821,49.21729127,6.832979509,92.99739415,mango
12,31,26,35.7877738,51.94190321,5.395275719,100.2160615,mango
12,34,28,33.36140093,45.02236377,6.13526938,98.81596545,mango
5,16,31,35.96054636,48.69677802,4.555688532,98.00644238,mango
1,30,29,28.33333307,51.39586505,6.434197756,91.67241761,mango
16,35,31,32.27652024,50.19368841,5.316875978,95.99487068,mango
35,18,26,31.99490489,50.84881347,5.279388967,97.38741498,mango
4,40,26,27.58258929,48.56916221,6.720041791,95.8445641,mango
9,29,34,29.38471637,45.88744691,5.72742254,100.8124659,mango
2,38,33,32.38697531,53.2328243,4.691396195,90.21633216,mango
26,32,32,30.91471455,49.92963856,6.810186079,90.14047759,mango
34,38,31,35.37775595,45.58110023,6.454045329,97.41586402,mango
5,32,33,32.32362177,52.5896771,5.842763773,93.36718816,mango
31,29,26,28.22373428,47.40519056,5.024124684,97.76832322,mango
34,34,35,27.27433181,47.16808054,6.422710539,95.257992,mango
36,19,32,27.10710832,50.70880979,4.94295037,92.37238878,mango
7,17,26,34.89226666,48.75613373,6.414526606,91.63074547,mango
38,15,27,33.7462686,48.50387598,6.777788126,92.26439205,mango
5,19,25,27.3511056,54.43945147,6.441328044,96.27792547,mango
37,36,26,32.89300162,52.61323969,4.650536197,94.49161372,mango
21,31,32,35.38598705,51.42664176,5.254532213,90.29643888,mango
37,36,27,27.5529736,47.90859131,5.910634533,90.40332704,mango
23,23,30,32.82141065,47.45553843,4.755273631,90.89173106,mango
36,26,26,30.17294105,51.0845903,6.814630246,95.23444287,mango
24,33,35,29.26382931,54.82257868,5.342866119,100.7586226,mango
26,18,30,32.06097197,51.08494181,6.336234624,96.59816497,mango
22,17,26,28.69818144,47.71875722,4.754435025,99.642454,mango
11,34,32,29.14305008,49.40983294,6.831706773,97.55155537,mango
29,35,28,28.3471611,53.53903102,6.967417766,90.40260445,mango
22,28,26,27.67256197,45.41692012,4.947683034,92.84991507,mango
23,24,32,28.1218093,46.16888595,5.630619901,93.30247448,mango
1,35,34,30.79375683,46.69536813,6.27339822,92.21318555,mango
2,24,34,28.89409382,54.80750249,6.472774648,94.76322976,mango
39,37,25,33.33024826,45.61143594,6.953246506,98.28583013,mango
15,36,27,27.78912455,53.96886679,5.643710216,91.01152997,mango
3,18,31,31.65333432,48.20662669,6.392313973,91.09745581,mango
8,38,32,29.75150773,46.73723302,4.981816523,91.405983,mango
33,31,34,31.32995611,50.22287593,5.421265283,89.78216168,mango
14,29,32,35.63627319,48.97047762,6.942520105,97.51952041,mango
18,20,26,31.66524687,51.98594645,5.435840509,89.98024312,mango
9,21,32,32.26935342,53.56092806,5.870116071,95.94035356,mango
20,30,27,27.81005614,51.59445462,4.74910393,95.89898581,mango
9,38,25,34.58561471,50.34035336,5.497946899,100.3060719,mango
26,24,34,31.27180992,52.23810152,6.811291098,89.74409017,mango
31,36,29,33.93679864,52.72170281,6.460542749,97.4611918,mango
14,18,35,31.09154239,47.02058367,4.791146778,91.46664318,mango
40,16,35,31.89356292,49.02450149,6.4841522,89.59371481,mango
28,27,34,32.45465292,50.69693751,6.526654345,95.04871605,mango
0,17,30,35.47478322,47.97230503,6.279133738,97.79072474,mango
1,29,29,27.32961444,49.30347234,6.052026047,93.53197359,mango
2,36,31,30.90225239,49.95955487,5.73171945,91.77522598,mango
12,27,26,29.09382275,45.5661059,5.32307197,96.23520043,mango
7,28,35,30.02086169,46.78393776,4.66910839,96.63721027,mango
0,36,26,34.13072188,51.25786185,5.101206389,96.38808001,mango
26,35,31,33.44619894,53.05980465,5.339556562,98.05089394,mango
27,21,30,35.3915464,52.48823147,5.061081874,91.22881052,mango
22,38,31,31.53356352,53.06009323,5.821106036,98.57025046,mango
22,18,31,30.7645515,47.93791463,5.956027059,90.38503469,mango
28,23,28,30.01821337,50.0983181,5.676032581,96.08745082,mango
7,31,27,31.32863689,47.59319575,6.524114355,94.67344737,mango
29,34,26,33.88004781,54.39416048,6.273953676,89.29147581,mango
8,37,33,28.07802689,54.9640534,6.128167757,97.45373619,mango
39,16,27,35.53845018,52.94641947,4.934964765,91.54560427,mango
40,24,25,28.70595247,50.44030129,5.445008416,95.8946444,mango
19,38,26,31.48451729,48.77926304,4.525722333,93.17221967,mango
21,21,30,27.69819273,51.41593238,5.403908328,100.7720705,mango
22,18,33,30.41235793,52.48100602,6.621623545,93.92375879,mango
31,20,30,32.17752026,54.01352682,6.207495815,91.88766069,mango
18,26,31,32.6112614,47.74916499,5.418475257,91.10190759,mango
24,130,195,29.99677232,81.54156612,6.112305667,67.12534492,jackfruit
13,144,204,30.7280404,82.42614055,6.092241627,68.38135469,jackfruit
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,jackfruit
36,125,196,37.46566825,80.65968681,6.15526103,66.83872293,jackfruit
24,131,196,22.03296178,83.74372787,5.732453638,65.34440794,jackfruit
2,123,198,39.64851881,82.21079946,6.253034534,70.39906054,jackfruit
35,140,197,16.77557314,82.75241875,6.106190557,66.76285469,jackfruit
11,122,195,12.14190714,83.56812483,5.647202395,69.63122027,jackfruit
6,123,203,12.7567962,81.62497448,6.130310493,66.77844567,jackfruit
17,134,204,39.04071989,80.18393287,6.499604931,73.88467027,jackfruit
25,130,197,39.70772192,82.68593454,5.554831977,74.91506217,jackfruit
27,145,205,9.467960445,82.29335466,5.800242694,66.02765219,jackfruit
9,122,201,29.58748357,80.91934392,5.570290539,68.06417307,jackfruit
16,139,203,17.82803682,80.96093443,6.27564088,65.84748763,jackfruit
32,141,204,8.825674745,82.89753705,5.536645599,67.235765,jackfruit
22,138,195,27.83487131,83.51444973,6.208196881,73.02882766,jackfruit
31,144,202,11.02105378,80.55557235,5.870600622,68.23963161,jackfruit
3,136,205,17.5862944,80.84806564,6.334771461,71.4065452,jackfruit
28,122,197,19.89363946,82.73366439,5.856575335,69.66256816,jackfruit
4,136,204,29.93707596,81.77713468,5.898944282,65.52279323,jackfruit
39,145,201,36.73126647,80.58931938,5.775600435,72.24230804,jackfruit
38,132,197,20.42094753,81.54185044,5.931101816,66.93065667,jackfruit
36,133,198,25.51939719,83.98351748,6.2286454,69.17281221,jackfruit
25,121,201,30.50734778,82.71775569,5.594240603,70.08200379,jackfruit
15,125,199,18.4269936,80.55625868,5.569230319,69.75734306,jackfruit
24,140,205,12.087022,83.59398734,5.93202852,68.66813363,jackfruit
13,132,203,23.60115364,82.48336987,6.423216506,73.23901752,jackfruit
5,126,197,12.80000387,81.20876367,6.417500829,67.10439401,jackfruit
30,120,200,38.06099482,82.24729637,6.234904253,65.70148216,jackfruit
23,142,197,39.06555518,82.03812973,6.000573725,69.30772897,jackfruit
26,135,203,33.78372897,81.16314317,5.685102769,74.53557341,jackfruit
7,126,203,16.76201707,82.00335557,5.662140095,73.28712806,jackfruit
32,139,198,35.89307536,82.66850729,6.358186848,66.53946559,jackfruit
9,141,202,21.01245395,81.17931863,6.119495295,66.38448261,jackfruit
20,142,196,10.89875873,80.01639435,6.207600783,68.69420397,jackfruit
32,129,201,16.36251869,83.00471609,6.48754639,71.55665483,jackfruit
3,134,199,20.28370163,81.32235739,5.81717753,71.06611222,jackfruit
38,138,204,25.11108456,83.25447587,6.325480034,73.01026829,jackfruit
14,131,198,33.4641162,83.86742974,5.562790949,67.92204319,jackfruit
20,122,204,11.7976469,80.86325389,6.487369687,65.06962486,jackfruit
40,126,201,11.36300891,80.03100049,6.116982944,71.18289431,jackfruit
36,128,204,25.23542319,80.68700527,5.695792761,67.03840888,jackfruit
11,132,197,15.99050693,81.23966573,5.734317007,74.40198861,jackfruit
0,137,195,22.4359017,80.18612085,6.329499832,65.3973168,jackfruit
19,123,200,34.76086052,81.03544763,6.167013532,65.70430027,jackfruit
31,136,197,31.11047251,83.34010951,5.653776058,71.43001582,jackfruit
4,134,200,28.57828803,80.95628959,5.840256272,73.34232097,jackfruit
39,139,201,41.18664903,81.01783402,5.539980812,68.68895899,jackfruit
8,127,196,27.02766138,83.17093908,5.833302165,70.95666003,jackfruit
39,138,203,21.19339319,82.33098331,6.399433771,74.62834921,jackfruit
32,120,204,10.38004759,83.44518113,6.138958698,67.3917379,jackfruit
12,142,203,31.3115978,82.56407013,5.972850838,65.01095312,jackfruit
8,133,195,20.46657776,80.97598029,6.456079585,71.29813872,jackfruit
8,139,199,29.36947679,81.53996362,6.336426667,66.13442813,jackfruit
21,134,202,10.72302459,80.02130636,6.425419926,65.2982112,jackfruit
40,140,195,14.97846952,80.49979873,6.294395676,71.63437433,jackfruit
39,127,202,15.3246651,81.67215994,6.477768039,71.60102999,jackfruit
19,120,195,18.73932187,81.12109244,5.931538447,73.55807954,jackfruit
21,139,201,19.3642553,83.36094029,5.980598579,67.15094741,jackfruit
17,136,195,41.20733624,81.61051026,6.389783283,65.90227462,jackfruit
33,139,203,33.34214482,82.51034633,5.693287415,70.68098614,jackfruit
22,133,201,23.81995682,80.12211649,6.00299607,67.2739864,jackfruit
32,130,196,40.66012294,81.24995984,6.372959542,74.03030056,jackfruit
37,135,205,11.82768186,80.2827185,5.510924849,74.10225057,jackfruit
15,140,195,13.28504331,83.54193816,5.69945282,65.80006004,jackfruit
39,132,196,35.83089092,83.32560104,5.778594403,73.67984885,jackfruit
40,121,199,26.18159716,81.03886263,6.315586313,66.05911698,jackfruit
40,132,202,24.57558351,80.70695797,5.971813006,69.706113,jackfruit
29,142,203,29.67229086,83.71498986,5.891195653,66.48490371,jackfruit
32,121,199,39.37102553,81.25353895,6.129812716,74.08101744,jackfruit
6,140,205,17.66558428,82.92903419,6.313085601,69.8671263,jackfruit
8,120,196,24.06679352,82.66396666,6.053662544,69.81855775,jackfruit
34,133,202,15.31413469,80.09711412,5.804799142,74.82144653,jackfruit
35,135,199,21.77466746,80.54942557,6.400719746,69.39630398,jackfruit
16,145,199,26.91624843,80.76838926,5.953966361,69.30927185,jackfruit
8,136,201,41.65602996,82.22118237,5.609255992,74.19664838,jackfruit
25,129,195,17.98667801,81.17712085,5.777271492,72.37127689,jackfruit
16,130,201,29.12033769,82.79092939,5.682395429,68.8503047,jackfruit
39,129,203,34.38922481,83.18392806,5.863996687,71.03001556,jackfruit
38,135,203,41.36106301,82.79782954,6.444373116,69.92107482,jackfruit
33,120,205,35.12158265,82.26890793,5.550832178,69.71518491,jackfruit
35,125,204,19.6491772,80.15215777,6.107741788,73.69529586,jackfruit
1,132,200,16.27852801,82.94270065,5.620745638,66.57462809,jackfruit
39,140,203,21.11903604,80.63399198,6.349875906,69.27779761,jackfruit
28,145,202,19.2077707,82.9042841,6.484323189,66.83113717,jackfruit
6,128,200,25.96308415,82.57813624,5.838748311,70.31782647,jackfruit
6,139,199,25.67385024,81.6212135,6.29099842,74.10919422,jackfruit
29,122,196,41.94865736,81.15595212,5.638328481,73.06862952,jackfruit
37,144,197,11.18994268,80.8084305,6.415555956,66.34234944,jackfruit
38,120,197,17.5438296,82.94703302,6.323722572,73.77063744,jackfruit
38,141,198,13.05809741,80.28297993,5.757009965,70.75633584,jackfruit
14,121,203,9.724457611,83.74765639,6.158689406,74.46411148,jackfruit
6,125,204,27.92004934,82.93262435,5.733539807,69.92092839,jackfruit
32,138,197,9.535585543,80.73112694,5.908724337,69.44115171,jackfruit
11,124,204,13.42988625,80.06633966,6.361141107,71.40043037,jackfruit
23,138,200,9.851242629,80.22631717,5.96537863,68.42802444,jackfruit
40,143,201,24.97256132,82.72828653,6.476757723,66.70016285,jackfruit
6,142,202,27.23708304,82.94573346,6.224542938,70.42508897,jackfruit
37,124,195,18.70679077,83.4795292,6.209928251,66.5964488,jackfruit
35,134,204,9.949929082,82.55138983,5.841138354,66.00817551,jackfruit
119,25,51,26.47330219,80.92254421,6.283818329,53.65742581,watermelon
119,19,55,25.18780042,83.44621709,6.818261383,46.87420883,watermelon
105,30,50,25.29954705,81.77527562,6.37620108,57.04147057,watermelon
114,8,50,24.74631269,88.30866319,6.581587932,57.95826144,watermelon
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,watermelon
80,26,55,24.53442564,88.989272,6.140099215,49.11618732,watermelon
85,27,45,26.0713757,88.7285657,6.467095849,57.79652846,watermelon
85,22,53,25.96534238,89.77076659,6.849471704,59.46338556,watermelon
82,22,45,26.22338015,85.34866045,6.512196212,54.60159289,watermelon
118,13,54,24.41311871,89.81574032,6.039584629,44.07843475,watermelon
83,25,53,26.49195283,80.04678201,6.057697106,57.72799157,watermelon
86,15,47,24.04355803,84.18406764,6.423898762,53.78929956,watermelon
101,10,47,25.5421695,83.31883376,6.936997681,57.57343233,watermelon
119,9,50,26.74550678,83.9195902,6.251286661,40.794305,watermelon
104,17,46,25.7131428,80.22972777,6.190015912,43.08961827,watermelon
95,12,51,25.76484262,84.1726996,6.681606702,44.22066914,watermelon
102,14,52,26.79489868,89.64815231,6.51075991,57.74091817,watermelon
109,21,55,24.9004602,89.73524177,6.770278088,57.44942094,watermelon
81,18,50,26.80750629,88.22874955,6.429788073,58.79889057,watermelon
103,17,51,25.11189154,80.02621335,6.209888345,44.20656987,watermelon
105,14,50,26.2148837,87.6883982,6.419052193,59.65590798,watermelon
